,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
<<<<<<< HEAD
0,0.0,0.0,0.0,101.0,110.0,651.0,642.0,564.6128328961183,342.82560821329196,564.422122006192,466.49738053555444
1,0.030029296875,0.0,0.0,100.0,110.0,653.0,642.0,564.6128328961183,342.82560821329196,564.422122006192,466.49738053555444
2,0.05999755859375,0.0,0.0,100.0,109.0,651.0,643.0,564.6128328961183,342.82560821329196,564.422122006192,466.49738053555444
3,0.09002685546875,80.0,0.0,101.0,109.0,652.0,642.0,564.6128328961183,342.82560821329196,564.422122006192,466.49738053555444
4,0.1199951171875,80.0,0.0,103.0,111.0,651.0,642.0,564.2849405279558,342.60469810438946,564.5226500731123,466.5180339956745
5,0.1500244140625,80.0,0.0,106.0,113.0,646.0,642.0,564.3574075137022,342.64042277742107,568.2598324637478,467.52069255136854
6,0.17999267578125,80.0,0.0,109.0,116.0,647.0,638.0,564.3574075137022,342.64042277742107,574.6152073323965,468.590626915216
7,0.21002197265625,80.0,0.0,112.0,117.0,645.0,636.0,564.3574075137022,342.64042277742107,574.6152073323965,468.590626915216
8,0.239990234375,80.0,0.0,114.0,119.0,637.0,628.0,564.3574075137022,342.64042277742107,579.22947975721,469.35112888213024
9,0.27001953125,80.0,0.0,117.0,122.0,627.0,621.0,564.3574075137022,342.64042277742107,580.0846453372055,469.4209136783062
10,0.29998779296875,80.0,0.0,118.0,124.0,622.0,614.0,564.2638483272093,342.59229697145423,579.9889034847745,469.54537115663965
11,0.33001708984375,80.0,0.0,119.0,124.0,616.0,610.0,564.3574075137022,342.64042277742107,582.1106094223856,469.74051170482727
12,0.3599853515625,80.0,0.0,120.0,125.0,609.0,605.0,564.3574075137022,342.64042277742107,582.1106094223856,469.74051170482727
13,0.3900146484375,80.0,0.0,122.0,127.0,602.0,598.0,564.2849405279558,342.60469810438946,587.5588574305349,469.91114268520033
14,0.41998291015625,80.0,0.0,123.0,128.0,600.0,593.0,564.2849405279558,342.60469810438946,587.3647225385444,470.02603367642814
15,0.45001220703125,80.0,0.0,123.0,129.0,597.0,590.0,564.3574075137022,342.64042277742107,586.7444744247784,470.04679929388533
16,0.48004150390625,80.0,0.0,124.0,129.0,597.0,589.0,564.3574075137022,342.64042277742107,587.2138702499708,470.1127608197092
17,0.510009765625,80.0,0.0,124.0,129.0,592.0,587.0,564.3574075137022,342.64042277742107,589.5536116644138,469.9984301504821
18,0.5400390625,80.0,0.0,124.0,130.0,593.0,583.0,564.3574075137022,342.64042277742107,589.5536116644138,469.9984301504821
19,0.57000732421875,80.0,0.0,124.0,131.0,587.0,580.0,564.3574075137022,342.64042277742107,589.5536116644138,469.9984301504821
20,0.60003662109375,80.0,0.0,126.0,131.0,588.0,580.0,564.4103437081046,342.75953411136874,589.5923334448588,470.2695667357583
21,0.6300048828125,80.0,0.0,124.0,130.0,586.0,579.0,564.4103437081046,342.75953411136874,589.5923334448588,470.2695667357583
22,0.6600341796875,80.0,0.0,125.0,131.0,587.0,579.0,564.4103437081046,342.75953411136874,589.8583403953994,470.3329214053631
23,0.69000244140625,80.0,0.0,125.0,131.0,587.0,578.0,564.4103437081046,342.75953411136874,589.8583403953994,470.3329214053631
24,0.72003173828125,80.0,0.0,125.0,130.0,585.0,577.0,564.4828904190548,342.79531965003065,592.4508984320512,470.08178544001026
25,0.75,80.0,0.0,125.0,131.0,583.0,576.0,564.4828904190548,342.79531965003065,592.4508984320512,470.08178544001026
26,0.780029296875,80.0,0.0,126.0,131.0,586.0,576.0,564.4828904190548,342.79531965003065,590.2521564324769,470.34770630623984
27,0.80999755859375,80.0,0.0,126.0,131.0,582.0,577.0,564.4828904190548,342.79531965003065,590.2521564324769,470.34770630623984
28,0.84002685546875,80.0,0.0,125.0,131.0,582.0,575.0,564.4103437081046,342.75953411136874,592.2016935163573,470.1625705203397
29,0.8699951171875,80.0,0.0,125.0,132.0,579.0,574.0,564.4103437081046,342.75953411136874,592.2016935163573,470.1625705203397
30,0.9000244140625,80.0,0.0,126.0,132.0,580.0,571.0,564.4828904190548,342.79531965003065,592.5794969105224,470.0652882294632
31,0.92999267578125,80.0,0.0,126.0,132.0,580.0,572.0,564.4828904190548,342.79531965003065,592.5794969105224,470.0652882294632
32,0.96002197265625,80.0,0.0,125.0,131.0,582.0,572.0,564.4103437081046,342.75953411136874,590.5341839777686,470.32505145985954
33,0.989990234375,80.0,0.0,126.0,131.0,583.0,574.0,564.4828904190548,342.79531965003065,591.0022400910779,470.24025540534836
34,1.02001953125,80.0,0.0,126.0,132.0,579.0,574.0,564.4103437081046,342.75953411136874,592.496956477097,470.1361223344094
35,1.04998779296875,80.0,0.0,126.0,131.0,577.0,572.0,564.4828904190548,342.79531965003065,592.7330306517085,470.22011240521203
36,1.08001708984375,80.0,0.0,124.0,131.0,579.0,572.0,564.4103437081046,342.75953411136874,592.3090378044812,470.18444763174915
37,1.1099853515625,80.0,0.0,126.0,132.0,579.0,571.0,564.4103437081046,342.75953411136874,592.3090378044812,470.18444763174915
38,1.1400146484375,80.0,0.0,127.0,132.0,582.0,573.0,564.4103437081046,342.75953411136874,592.3090378044812,470.18444763174915
39,1.16998291015625,80.0,0.0,125.0,131.0,580.0,572.0,564.4103437081046,342.75953411136874,592.3090378044812,470.18444763174915
40,1.20001220703125,80.0,0.0,126.0,131.0,577.0,570.0,564.4378226066427,342.7686883865484,592.442895574972,469.95661399708405
41,1.23004150390625,80.0,0.0,126.0,132.0,579.0,569.0,564.4378226066427,342.7686883865484,592.442895574972,469.95661399708405
42,1.260009765625,80.0,0.0,127.0,132.0,578.0,567.0,564.4378226066427,342.7686883865484,592.1624725342277,470.05558333155847
43,1.2900390625,80.0,0.0,125.0,131.0,580.0,568.0,564.4378226066427,342.7686883865484,592.1624725342277,470.05558333155847
44,1.32000732421875,80.0,0.0,126.0,132.0,581.0,569.0,564.3605690981739,342.74223209153456,591.6648896085617,470.13725122687106
45,1.35003662109375,80.0,0.0,126.0,132.0,577.0,570.0,564.4378226066427,342.7686883865484,592.4287035676557,470.08635822425936
46,1.3800048828125,80.0,0.0,125.0,131.0,579.0,569.0,564.3605690981739,342.74223209153456,592.4764018135594,470.0775953512821
47,1.4100341796875,80.0,0.0,126.0,132.0,580.0,569.0,564.4378226066427,342.7686883865484,592.2405909011113,469.9936934971121
48,1.44000244140625,80.0,0.0,126.0,132.0,576.0,568.0,564.4378226066427,342.7686883865484,592.2405909011113,469.9936934971121
49,1.47003173828125,80.0,0.0,125.0,130.0,578.0,569.0,564.3605690981739,342.74223209153456,591.6903619393329,470.1264630657237
50,1.5,80.0,0.0,126.0,132.0,579.0,568.0,564.3605690981739,342.74223209153456,591.6903619393329,470.1264630657237
51,1.530029296875,80.0,0.0,126.0,132.0,579.0,568.0,564.4378226066427,342.7686883865484,592.3542856115108,470.0870226903206
52,1.55999755859375,80.0,0.0,125.0,132.0,574.0,569.0,564.4378226066427,342.7686883865484,592.4764018135594,470.0775953512821
53,1.59002685546875,80.0,0.0,126.0,132.0,576.0,569.0,564.3605690981739,342.74223209153456,592.2405909011113,469.9936934971121
54,1.6199951171875,80.0,0.0,126.0,132.0,576.0,568.0,564.3605690981739,342.74223209153456,592.2405909011113,469.9936934971121
55,1.6500244140625,80.0,0.0,126.0,131.0,580.0,571.0,564.3605690981739,342.74223209153456,592.2405909011113,469.9936934971121
56,1.67999267578125,80.0,0.0,126.0,132.0,580.0,570.0,564.3605690981739,342.74223209153456,592.3020513354875,470.0445301216516
57,1.72003173828125,80.0,0.0,126.0,132.0,578.0,570.0,564.3605690981739,342.74223209153456,592.4659353687127,470.125190388149
58,1.739990234375,80.0,0.0,126.0,132.0,578.0,569.0,564.3605690981739,342.74223209153456,592.223464066726,470.03645317441266
59,1.780029296875,80.0,0.0,126.0,131.0,577.0,569.0,564.4378226066427,342.7686883865484,591.8572420010826,470.1498943808744
60,1.79998779296875,80.0,0.0,126.0,131.0,578.0,568.0,564.6291725259525,342.84741500936974,592.0756211879386,470.3840510000291
61,1.84002685546875,80.0,0.0,126.0,132.0,578.0,567.0,564.6291725259525,342.84741500936974,592.0756211879386,470.3840510000291
62,1.8599853515625,80.0,0.0,125.0,131.0,578.0,569.0,564.6291725259525,342.84741500936974,592.4952225503014,470.20742844958096
63,1.9000244140625,80.0,0.0,126.0,132.0,575.0,568.0,564.7065271551973,342.8739033735235,592.5873030289712,470.20291604659724
64,1.92999267578125,80.0,0.0,126.0,132.0,580.0,569.0,564.6291725259525,342.84741500936974,592.4693367249672,470.27666732198566
65,1.96002197265625,80.0,0.0,125.0,131.0,578.0,568.0,564.6291725259525,342.84741500936974,592.0892400397149,470.402214963744
66,1.989990234375,80.0,0.0,126.0,131.0,579.0,570.0,564.6340322585687,342.83800078747623,592.1525540810454,470.3515907984192
67,2.02001953125,80.0,0.0,126.0,131.0,577.0,569.0,564.5566032400721,342.8116018729719,592.5211429780097,470.2787435072709
68,2.04998779296875,80.0,0.0,125.0,130.0,577.0,568.0,564.5566032400721,342.8116018729719,592.4952225503014,470.20742844958096
69,2.08001708984375,80.0,0.0,126.0,131.0,578.0,569.0,564.7065271551973,342.8739033735235,592.3813568223787,470.28976215571254
70,2.1099853515625,80.0,0.0,126.0,132.0,579.0,570.0,564.7065271551973,342.8739033735235,592.3813568223787,470.28976215571254
71,2.1400146484375,80.0,0.0,127.0,132.0,580.0,570.0,564.5566032400721,342.8116018729719,592.0892400397149,470.402214963744
72,2.16998291015625,80.0,0.0,125.0,132.0,577.0,570.0,564.6291725259525,342.84741500936974,592.3933522791639,470.26948513173556
73,2.20001220703125,80.0,0.0,126.0,132.0,578.0,570.0,564.6291725259525,342.84741500936974,592.4855640678688,470.15786806424666
74,2.23004150390625,80.0,0.0,126.0,132.0,577.0,570.0,564.6291725259525,342.84741500936974,592.4855640678688,470.15786806424666
75,2.260009765625,80.0,0.0,125.0,131.0,576.0,570.0,564.6291725259525,342.84741500936974,592.3267573482809,470.24228460771815
76,2.2900390625,80.0,0.0,128.0,131.0,576.0,571.0,564.6291725259525,342.84741500936974,592.1315141996753,470.27944045052834
77,2.32000732421875,80.0,0.0,125.0,131.0,577.0,570.0,564.5566032400721,342.8116018729719,592.3464522996961,470.21505823976355
78,2.35003662109375,80.0,0.0,125.0,131.0,582.0,571.0,564.5566032400721,342.8116018729719,592.4855640678688,470.15786806424666
79,2.3800048828125,80.0,0.0,126.0,132.0,578.0,570.0,564.6291725259525,342.84741500936974,592.4855640678688,470.15786806424666
80,2.4100341796875,80.0,0.0,125.0,132.0,577.0,569.0,564.2887516211734,342.69814983025407,591.8324787452261,469.8431300885259
81,2.44000244140625,80.0,0.0,125.0,131.0,579.0,567.0,564.2163587147656,342.66241126305204,591.7045402912057,469.8916483472561
82,2.47003173828125,80.0,0.0,126.0,131.0,580.0,568.0,564.2163587147656,342.66241126305204,591.7045402912057,469.8916483472561
83,2.5,80.0,0.0,126.0,132.0,580.0,570.0,564.2887516211734,342.69814983025407,591.8878909400138,469.8914121237506
84,2.530029296875,80.0,0.0,125.0,132.0,579.0,569.0,564.2887516211734,342.69814983025407,592.0385618493875,469.813635861233
85,2.55999755859375,80.0,0.0,126.0,132.0,578.0,569.0,564.2887516211734,342.69814983025407,592.0481806987717,469.7644063597201
86,2.59002685546875,80.0,0.0,126.0,131.0,578.0,569.0,564.2887516211734,342.69814983025407,591.9668144992736,469.8293205656974
